text,value
Almost Certainly,95
Almost Certainly,95
Almost Certainly,95
Almost Certainly,95
Almost Certainly,98
Almost Certainly,95
Almost Certainly,85
Almost Certainly,97
Almost Certainly,95
Almost Certainly,90
Almost Certainly,90
Almost Certainly,99
Almost Certainly,60
Almost Certainly,89
Almost Certainly,99
Almost Certainly,95
Almost Certainly,97
Almost Certainly,99
Almost Certainly,95
Almost Certainly,95
Almost Certainly,90
Almost Certainly,92
Almost Certainly,98
Almost Certainly,98
Almost Certainly,90
Almost Certainly,95
Almost Certainly,95
Almost Certainly,98
Almost Certainly,85
Almost Certainly,80
Almost Certainly,98
Almost Certainly,96
Almost Certainly,99
Almost Certainly,85
Almost Certainly,90
Almost Certainly,95
Almost Certainly,98
Almost Certainly,98
Almost Certainly,80
Almost Certainly,95
Almost Certainly,99
Almost Certainly,85
Almost Certainly,90
Almost Certainly,95
Almost Certainly,85
Almost Certainly,95
Very Good Chance,85
Very Good Chance,75
Very Good Chance,85
Very Good Chance,85
Very Good Chance,80
Very Good Chance,85
Very Good Chance,65
Very Good Chance,75
Very Good Chance,80
Very Good Chance,90
Very Good Chance,85
Very Good Chance,70
Very Good Chance,70
Very Good Chance,80
Very Good Chance,85
Very Good Chance,80
Very Good Chance,70
Very Good Chance,75
Very Good Chance,90
Very Good Chance,75
Very Good Chance,80
Very Good Chance,75
Very Good Chance,75
Very Good Chance,91
Very Good Chance,75
Very Good Chance,80
Very Good Chance,80
Very Good Chance,75
Very Good Chance,90
Very Good Chance,74
Very Good Chance,75
Very Good Chance,80
Very Good Chance,75
Very Good Chance,87
Very Good Chance,80
Very Good Chance,80
Very Good Chance,90
Very Good Chance,82
Very Good Chance,70
Very Good Chance,90
Very Good Chance,80
Very Good Chance,80
Very Good Chance,80
Very Good Chance,90
Very Good Chance,75
Very Good Chance,75
Likely,66
Likely,75
Likely,75
Likely,75
Likely,70
Likely,75
Likely,40
Likely,70
Likely,65
Likely,75
Likely,60
Likely,75
Likely,60
Likely,70
Likely,75
Likely,70
Likely,65
Likely,65
Likely,80
Likely,75
Likely,80
Likely,70
Likely,85
Likely,85
Likely,65
Likely,65
Likely,75
Likely,90
Likely,65
Likely,65
Likely,70
Likely,70
Likely,75
Likely,60
Likely,90
Likely,80
Likely,90
Likely,86
Likely,80
Likely,90
Likely,60
Likely,70
Likely,70
Likely,70
Likely,65
Likely,60
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,45
About Even,50
About Even,50
About Even,52
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,49
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,50
About Even,40
About Even,50
About Even,50
About Even,52
About Even,50
About Even,48
About Even,50
About Even,45
About Even,50
About Even,50
About Even,50
About Even,49
Improbable,20
Improbable,49
Improbable,10
Improbable,10
Improbable,50
Improbable,15
Improbable,35
Improbable,30
Improbable,30
Improbable,20
Improbable,1
Improbable,10
Improbable,5
Improbable,49
Improbable,1
Improbable,40
Improbable,10
Improbable,3
Improbable,10
Improbable,20
Improbable,30
Improbable,33
Improbable,15
Improbable,7
Improbable,25
Improbable,10
Improbable,49
Improbable,7
Improbable,25
Improbable,29
Improbable,20
Improbable,9
Improbable,0
Improbable,3
Improbable,3
