sample	specie	genotype	treatment
sample_101	dicoccum	MG_5350	High
sample_103	durum	Trinakria	High
sample_105	dicoccoides	PI_538656	High
sample_106	durum	Cappelli	High
sample_107	durum	Simeto	Low
sample_108	durum	Cirillo	Low
sample_109	dicoccoides	PI_554584	High
sample_10	durum	Trinakria	High
sample_111	dicoccum	PI_470739	Low
sample_112	durum	Creso	High
sample_113	dicoccum	PI_470739	High
sample_115	durum	Neodur	High
sample_116	durum	Ofanto	High
sample_117	dicoccum	Molise_Sel._Colli	High
sample_118	durum	Timilia	High
sample_119	durum	PR22D89	Low
sample_11	dicoccum	PI_352347	High
sample_121	dicoccum	Molise_Sel._Colli	Low
sample_122	dicoccoides	PI_352324	High
sample_123	dicoccum	MG_5473	Low
sample_124	dicoccoides	PI_428014	High
sample_125	durum	Appulo	Low
sample_126	dicoccoides	PI_343446	Low
sample_127	dicoccoides	PI_466991	High
sample_128	dicoccum	Lucanica	High
sample_129	dicoccum	MG_5350	Low
sample_12	dicoccum	MG_5473	Low
sample_131	dicoccoides	PI_538656	High
sample_132	dicoccum	Lucanica	Low
sample_133	dicoccum	MG_5473	High
sample_134	dicoccum	PI_254169	High
sample_135	durum	Capeiti-8	High
sample_137	durum	Cappelli	Low
sample_139	dicoccum	PI_74106	Low
sample_13	dicoccoides	PI_233288	Low
sample_140	dicoccum	MG_5293_1	Low
sample_141	durum	Simeto	Low
sample_142	durum	Cirillo	High
sample_143	dicoccoides	PI_343446	Low
sample_144	durum	Simeto	High
sample_14	durum	Simeto	High
sample_15	durum	Capeiti-8	Low
sample_16	durum	Neodur	Low
sample_184	durum	Simeto	Low
sample_185	dicoccum	Molise_Sel._Colli	High
sample_18	durum	Appulo	Low
sample_19	durum	Timilia	Low
sample_1	durum	PR22D89	High
sample_202	durum	Simeto	High
sample_20	dicoccum	CItr_17675	Low
sample_21	dicoccoides	PI_428014	High
sample_22	durum	PR22D89	High
sample_239	dicoccum	Molise_Sel._Colli	Low
sample_23	durum	Capeiti-8	Low
sample_24	durum	Pedroso	High
sample_25	durum	Ofanto	High
sample_267	durum	Simeto	Low
sample_26	dicoccum	PI_352347	Low
sample_278	dicoccum	Molise_Sel._Colli	Low
sample_27	durum	Trinakria	Low
sample_284	dicoccum	Molise_Sel._Colli	High
sample_29	durum	Capeiti-8	High
sample_2	dicoccoides	PI_466991	High
sample_30	dicoccoides	PI_355459	High
sample_31	dicoccoides	PI_233288	High
sample_32	durum	Creso	Low
sample_33	durum	Neodur	High
sample_34	dicoccum	MG_5293_1	High
sample_35	dicoccoides	PI_352324	Low
sample_36	durum	Creso	High
sample_37	dicoccum	PI_352347	High
sample_38	dicoccoides	PI_428014	Low
sample_3	dicoccum	MG_5293_1	Low
sample_40	dicoccoides	PI_352324	High
sample_41	dicoccum	MG_5350	High
sample_42	dicoccoides	PI_554584	Low
sample_43	durum	Cirillo	High
sample_44	dicoccum	Lucanica	High
sample_45	durum	Cirillo	Low
sample_46	dicoccum	CItr_17675	High
sample_47	durum	Pedroso	Low
sample_48	durum	Cappelli	High
sample_49	dicoccoides	PI_355459	Low
sample_4	dicoccum	PI_470739	High
sample_50	dicoccum	PI_254169	High
sample_52	dicoccoides	PI_554584	High
sample_53	durum	Appulo	High
sample_55	dicoccoides	BAZ_382	Low
sample_56	dicoccum	MG_5350	Low
sample_57	dicoccum	PI_74106	High
sample_58	durum	PR22D89	Low
sample_59	dicoccoides	PI_428014	Low
sample_5	dicoccoides	PI_466991	Low
sample_60	dicoccum	MG_5473	High
sample_61	dicoccoides	IG_46504	High
sample_62	dicoccoides	PI_343446	High
sample_63	dicoccum	PI_254169	Low
sample_64	dicoccum	PI_470739	Low
sample_65	durum	Cappelli	Low
sample_66	dicoccum	PI_74106	Low
sample_68	dicoccoides	PI_355459	High
sample_70	dicoccoides	BAZ_382	High
sample_71	durum	Ofanto	Low
sample_72	dicoccum	Molise_Sel._Colli	High
sample_73	dicoccoides	PI_343446	High
sample_75	dicoccum	CItr_17675	High
sample_76	dicoccum	PI_352347	Low
sample_77	dicoccoides	BAZ_382	High
sample_78	durum	Pedroso	Low
sample_79	dicoccum	PI_254169	Low
sample_7	dicoccum	Lucanica	Low
sample_80	dicoccoides	PI_233288	High
sample_81	dicoccoides	IG_46504	High
sample_84	durum	Neodur	Low
sample_85	durum	Appulo	High
sample_86	durum	Timilia	Low
sample_88	dicoccoides	PI_352324	Low
sample_89	dicoccoides	IG_46504	Low
sample_90	dicoccoides	BAZ_382	Low
sample_91	dicoccum	Molise_Sel._Colli	Low
sample_92	dicoccum	CItr_17675	Low
sample_93	durum	Simeto	High
sample_94	dicoccoides	PI_554584	Low
sample_95	dicoccoides	PI_538656	Low
sample_96	dicoccoides	PI_355459	Low
sample_97	durum	Ofanto	Low
sample_98	dicoccum	PI_74106	High
sample_9	durum	Timilia	High
