sample_101	sample_103	sample_105	sample_106	sample_107	sample_108	sample_109	sample_10	sample_111	sample_112	sample_113	sample_115	sample_116	sample_117	sample_118	sample_119	sample_11	sample_121	sample_122	sample_123	sample_124	sample_125	sample_126	sample_127	sample_128	sample_129	sample_12	sample_131	sample_132	sample_133	sample_134	sample_135	sample_137	sample_139	sample_13	sample_140	sample_141	sample_142	sample_143	sample_144	sample_14	sample_15	sample_16	sample_184	sample_185	sample_18	sample_19	sample_1	sample_202	sample_20	sample_21	sample_22	sample_239	sample_23	sample_24	sample_25	sample_267	sample_26	sample_278	sample_27	sample_284	sample_29	sample_2	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_3	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_4	sample_50	sample_52	sample_53	sample_55	sample_56	sample_57	sample_58	sample_59	sample_5	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_68	sample_70	sample_71	sample_72	sample_73	sample_75	sample_76	sample_77	sample_78	sample_79	sample_7	sample_80	sample_81	sample_84	sample_85	sample_86	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_9
gene_1	7.27095255112843	7.26990427309671	7.27066390029283	7.27078494998939	7.27026089936114	7.2700321130279	29.6839950088653	7.26937142765233	7.26897435550876	7.27025473062967	7.28079055118673	7.27110895410957	7.27095096025745	7.27004589845917	7.26949178139481	7.26981243742975	7.2712166064058	7.27110327244987	7.26986126883841	7.26993486762409	7.27936960102618	7.26956947230609	7.27044047621502	7.27158219890784	7.27103930744837	7.26945515047061	7.27002897753899	7.28294318221149	7.26983038580295	7.26916652569153	7.26931833406132	7.27031553024658	7.2708998963577	7.2723471218913	7.2724275038019	7.27130464529606	7.26969437897496	7.26909311599969	7.26981604612769	7.27067118836758	7.27169666054767	7.26882199225798	7.27080918933509	7.26965213415832	7.26991403795217	7.27066296349442	7.27073116536802	7.27196656519298	7.27208120917002	7.27268815555477	7.27176886064278	7.26934557800124	7.27159885124642	7.26937492265824	7.27044022739634	7.29587647912099	7.2716675538022	7.27026078352238	7.27127254701179	7.27007373641036	7.26887274840657	7.27359057036289	7.27248807960946	7.2910130475956	7.27693083195193	7.26962934707561	7.27571649043858	7.27012279905321	7.2761492021205	7.27011961546704	7.2710629988851	7.27520187880702	7.27001472234175	7.26955991468824	7.27059028783861	51.0642875189654	7.27148043526458	7.27103708150808	7.26936068311384	7.2710752196591	7.27340423897777	7.26986435860782	7.28419390341294	7.27029602917146	7.27864976015166	61.0783563480699	7.2706341811515	7.26886289203602	7.26943575705503	7.26989867724293	7.27351767776014	7.27064911221895	7.26998511746574	7.27353886430607	7.27171993986721	7.27112547621477	7.27420653760393	7.26944224929746	7.27436248083145	7.27492353439203	7.28372156499494	7.2709974026445	7.26980556668968	7.27044342760809	7.27534480954711	7.28162139239995	7.27961139564706	7.2848131975557	7.27108733174346	7.26975945256697	7.27080578240226	7.28537543982702	7.27230649199482	7.27318621740438	7.27092860066367	7.27355809128411	7.2718820661273	7.28080967148765	7.26921081659439	7.26998296800553	7.27164315270932	7.27632999356434	25.0606584937898	7.28500515315448	7.27434442984279	7.27121962468027	7.2735173365752	7.27121846556467
gene_2	4.30064311060562	4.32734515564029	4.29538084956127	4.24126496968086	4.41334613224299	4.23637301643518	4.25213788324146	4.42975354409276	4.59454979758476	4.28788890884242	4.27725848555845	4.30348652705344	4.24233753604421	4.28405037024512	10.6261704932624	4.68304058394076	4.30544043996734	4.2433196524309	4.37143210341328	4.2357377469724	4.24450300946352	4.46385808928652	4.29129467759828	4.31205654574799	4.39725091483308	4.51640553688539	4.23635254548033	4.23745370469798	4.3025905739533	4.2677758770729	4.4262229524336	4.39057359624296	4.2420078564095	4.40033447230406	4.2769639352524	4.24461526070628	4.27756637563457	4.57413276009764	4.32466719680325	4.40548446317878	4.31412178751926	4.82129910183574	4.2414217146826	4.23388634422465	4.23560157346822	4.2953637403654	25.3202715635887	4.52936680889277	4.24958136330585	4.25342968469295	4.24758964888631	4.31033686299863	4.2465023276336	4.92478877660092	4.29129012062943	4.24488796560652	4.28026944557111	4.38827246389114	4.24440896152787	4.54811135335024	4.26229871996937	4.23535156175335	4.25216429418522	4.32222868480126	4.34046866116419	4.61737841667406	4.28072543829934	4.23696473891729	4.70558908142437	4.33386903575119	4.30265163228837	4.29855355936532	4.2834764613549	4.52586339981333	4.2940358204071	4.30040022496902	4.24574362419171	4.36146805297938	4.7837621620003	4.30287370066244	4.23752700988089	4.32613399558333	4.72520334641981	4.26337001091771	4.3262372070728	4.26611938161555	4.24028895044075	4.32897731267513	4.57512231496198	4.25841969587855	4.84564886805926	4.24038569032329	4.23606610787578	4.28843524886481	4.24727700334364	4.24346266795736	4.34483325740422	4.2527028769237	4.29687903824333	4.44206478304451	4.39352810863625	4.33087002247448	4.503263010527	4.23905145106601	4.24456213722611	4.25010505818958	4.28604696009718	4.24038899170596	4.24321695319946	4.41130583330826	4.29796980345864	4.269433799773	4.25101312733153	4.38095362229245	4.24219320345497	61.9313407921763	4.80265810020488	4.24809265252956	4.71999848740547	4.32973128926945	4.27997129546175	4.26098340358591	4.29937716631715	4.23596378965573	4.29705110449849	4.30549518462281	4.22965418118566	21.6853455779426
gene_3	3.67093804162165	3.66216832489413	3.7468103772649	4.03077585331028	3.73674048560272	3.79873297611603	3.79136395904669	3.65764436467831	4.2024521755991	4.12965143950794	3.8147089988463	3.75784381304089	3.67092486171734	3.66336317461988	3.65867014940515	3.66139184194929	3.93525646015487	3.97149994430771	3.66180488426016	3.86076147839709	4.16064454284272	3.65933108471104	3.66667549103739	3.90950602596452	3.75004745503392	4.55767147065828	3.66322058435432	3.80567329646991	3.72589919051728	3.78868449217481	3.6571911053867	3.66562925702638	4.2046114363117	3.68234412547385	3.66011526268319	3.67384551293192	3.66039167793351	3.75899404214519	3.66142237918105	3.66860097546845	3.77227533934977	3.65293183993276	3.75042228863125	4.30422441833444	3.72801257371916	3.66853247393841	3.6691001825699	3.6792605491726	3.68019175153481	3.68508927420913	3.77403750390922	3.65742374308394	3.67626050400978	3.68600412943277	3.74123073228621	3.85322602539461	3.67682256578343	15.4022421153339	4.02676301383182	3.66359766313379	3.77361496229853	3.64088644140802	3.7914643557095	3.68072966447083	3.81153025341839	4.2085410068133	3.66184022481718	3.66401063773097	6.79725925345218	3.66398385203428	4.1385634950537	6.61557958385441	3.66310042277026	3.83863028477197	3.82202653631906	4.45760605990701	3.72113701344883	3.84049852177134	3.68576179058342	3.75701067736759	3.66473586279833	3.66183100649227	3.76865086645552	3.73762129336155	3.66185975501302	4.63552910165031	3.66829267541028	3.65328432389806	9.57157881786646	3.66212104936913	3.65454737754749	3.66841708879605	3.66285077155549	3.70135063661592	3.67725066351144	3.67236836328576	3.65052095393149	3.91835546843522	4.98309525333708	3.65922371656411	3.66621860169264	3.67130946360665	3.72527152497408	3.70400545112902	3.67377746567393	3.68085926470757	64.8013307834556	3.66842133437536	4.18359295261472	3.66094324003257	6.49132370700484	3.66955163938996	3.68201593328365	5.86085820061115	3.67073957786332	3.65468247996894	4.3617879385837	3.77595732892443	3.65627184206297	3.83012987664774	3.77096787950773	3.66385424761704	3.916038475962	3.86279520756126	3.6468417937939	3.67314517499297	3.65454623679546	3.67313561943836
gene_4	3.78324922656559	3.6746028749636	3.75665648927047	3.76807652779063	3.7155421163316	3.68982141872213	11.1266314532757	3.60355647679079	3.54092689804802	3.71487269003199	3.64599080261826	3.79678015668067	3.78310855365656	3.69142495705733	3.62078302508093	3.66326709386882	3.80576202619586	3.79629876096372	3.66933782433914	3.67830321968119	3.81151011220411	3.63151565445313	3.73448167056293	3.83441263620611	3.52527429745386	3.61561879883984	3.68945569588337	3.70863492288383	3.66550998656754	3.57241866459337	3.59571416303552	3.72141498053976	3.77855971491245	3.88645363982373	3.64389489866647	3.81291611944423	3.6481698118423	3.56066458825822	3.66371913600768	3.75735546799985	3.84283872805194	3.51420289538493	3.77031581943247	3.64261778695206	3.67578797597812	3.75656653562541	3.76305173869968	3.86177589252112	3.8694476420374	3.9067829228763	3.84802965054469	3.59975737762135	3.83565382425243	3.60406738466266	3.73445614035504	3.8163060811192	3.8407192073049	3.71552955744041	3.81032729432639	3.69464144589562	3.5232883415964	3.16532127150805	3.89504852441516	3.87379084504705	3.72380718735028	3.63958915666765	3.66985291463052	3.70024082910222	3.56537134442757	3.69988015265194	3.79286487837694	3.6443397649735	3.68778828075706	3.6302111574259	3.74951218287074	33.249996911562	3.82671102843306	3.79063485336044	3.60198172518492	3.79391088646231	3.70987697329732	3.66971862237526	4.08398657719603	3.71933000037672	3.67013727786469	47.9258603726367	3.75379073555619	3.52153866843229	3.61285711117126	3.67392201320459	3.54689864403158	3.75523362358825	3.68430066495604	3.71809121710997	3.84452272749324	3.79817580057497	3.46070308955055	3.61378377577928	3.76444307045899	3.62979108653541	3.7288330053136	3.78718962334257	3.66240491526955	3.73478435373514	3.81225149668357	3.87482779368893	3.70380717919913	3.75528275757881	3.79494413067847	3.65656624043236	3.77000201578969	3.76812408267304	3.88392366531087	3.69615336486785	3.78112475788996	3.54952888352444	3.6013207265702	3.85358701203265	3.57935292796012	3.6840461350699	3.83893026476316	3.69813011604603	12.9188394777169	3.68244201225352	3.36590369498166	3.8060101000625	4.19407585346288	3.80591485547671
gene_5	2.40656022978034	2.25296495887335	8.25190754618997	10.3591192071246	2.30957102586835	2.68524284891537	7.57632066980239	2.15761292555629	8.72325971263688	2.30863413651937	9.19447493346275	2.42653080442173	2.84151608716476	2.27605990442261	2.39244774552313	2.64260990801858	2.43990826958072	2.42581659045538	10.348904906455	2.25802637821095	8.14361754675697	2.4081039152459	3.45137385998425	2.48326841237314	2.05579465259183	2.38494409373419	2.2733448458042	9.2536305511374	2.2405709250963	2.1167668842775	8.65185971617649	2.31780741296321	10.4663222158615	8.72654414559423	8.33851576374776	2.45063515512356	2.217099847907	2.30617369370506	2.45561448119686	2.79723572941684	2.49623205815523	2.0416064919519	2.61989157569946	2.20962846281369	2.25458483991625	2.59799282611314	2.60829232073584	2.52574400378077	2.53785512751028	9.10560757785624	8.7040176651998	2.15260180720558	2.48517172529925	2.15828743928266	2.33620937445104	2.45574083366396	2.49296168984146	7.69329073669048	2.44674599112453	2.28050125502977	2.42749612536518	1.6031833904842	2.57896454672107	2.54475293174493	9.24692377250394	2.41993777860249	2.65311774180698	2.28825307784702	9.88009126970549	2.28775297501146	2.42073001486932	8.5679879899607	2.27104836756959	10.2009949775599	2.35765583039277	2.63880120175434	2.47150573486161	2.85464319183984	2.54667753402613	9.06592153736893	2.30165481950264	10.3757256256291	3.20274569748632	8.8797987415888	8.45794498774097	2.09818614126029	2.3637914052837	8.90699948132026	2.16991502537484	8.83897782366277	2.08364324563631	8.6319602893875	2.26625209094247	2.31314222656439	2.49883501988473	2.42860300347666	8.35570241060279	8.54935912710075	9.8211871123172	8.4412367626264	2.74925760194227	8.8123333946378	3.08306657889836	2.33667455527781	2.4496358849999	8.75280940152991	2.29320391950989	8.82662970422854	2.42380830950937	8.6184525574278	2.38721120097058	9.01677957988301	2.56096534732802	2.50436236648868	2.40344396413482	2.0870437044938	9.96551291271454	2.51291672384968	9.09156619259386	2.48605270913828	9.2903864109818	2.28532796002175	2.83099701373238	8.84767039379686	1.85468507442986	2.6779152926159	8.47441564183686	2.44013675047771
gene_6	9.99681150207341	10.1380080640119	3.62276460890712	3.78154679668589	6.73633770030863	7.11178224765112	7.67452151935028	9.97345282525306	3.45136681453068	3.82111509443241	3.46568392897743	10.1073006055833	6.32538813990258	10.3707703345242	10.3028558502202	3.62169136346836	3.84320529637726	10.2146893204183	10.0230878507349	3.64371538742311	3.54174163736503	3.30008897276653	3.72859401611185	4.0237657667307	10.4029337254675	10.4399548402739	3.66023080308086	4.11578595750508	10.4128156259614	3.70913043415847	10.5081624898308	3.41567811981179	4.24212084147012	10.8609394566943	3.31550005731841	10.7358058816389	6.8271614443963	6.22406276598536	3.34049635631663	6.65543918161151	6.73619030264232	3.16058793384214	10.1165275172929	7.70359908488959	10.253855305798	3.46347905291408	10.3936989190586	3.61778537565194	6.24598404169851	3.69018417523023	3.59652100426939	3.53146050927123	10.273283852542	3.26642971949769	3.58996275959087	6.08589048192755	7.09138616850773	3.40783054753679	10.3052372467185	10.9174118866969	6.82206588975489	2.79140272372703	3.67087319061253	7.5363037072243	4.70208014433807	3.58754456833571	9.75994213388488	10.1725163750624	9.95065773211472	3.67581229816623	3.51465873277015	3.71196610615254	10.6748848184933	9.64037545397148	10.0019608526001	7.98286886463958	6.28626191618675	10.4175805392711	6.5651114639379	3.51616323316876	3.40033345109686	3.34814096790227	9.5560492107386	3.70527371684781	10.6189885302202	7.47662831807894	3.45964401066901	3.16900306875535	10.5079039580023	10.2274915280877	3.19838559494092	3.88673117987642	3.65257736649878	3.41124097394815	3.90945929705922	3.52231558202171	11.2671503717008	3.77148185007819	3.47442028925115	10.5830773866045	7.48497720312137	3.50652582657705	6.5397527773742	10.3338959136518	3.85408664309942	3.81149401503289	3.39232585670943	4.36888026148379	3.68112465930255	10.7690107155972	9.77145313764986	6.40673431280098	4.23877034845521	9.97478261175955	3.80261045870991	10.2502931341729	9.90115976329809	4.17913542725284	3.23668916318045	10.3493153489425	3.58264539098219	5.82192104256612	7.75555873404473	3.97879077247517	8.59367155538407	6.48908372855802	10.255138490121	9.99881864845814
gene_7	2.88979641184436	8.96737919405741	2.63759655364491	9.06754452525829	2.58024154673594	2.5452223147526	2.84635346510591	8.59619727493848	2.35259842748429	8.67108963662909	2.48688317530751	3.09782377676456	2.67549930378036	8.79528117159837	8.5917461047921	2.70804338321876	7.92899975304264	9.01791810414474	2.71686174188156	9.29665468575855	2.71717559997708	8.43766475313931	2.99335288093489	2.75159544162764	8.52720447153096	3.5081431393924	8.61908857611438	3.10710938278298	9.29066588166455	8.76415652717801	2.42175830938901	8.42191679385207	9.34368517917625	3.06271245050576	2.48413217327292	2.71926698965574	3.14187751307454	2.37732040912349	2.51028937760695	2.84909114530143	2.76445539331896	8.71042268400401	2.65706428179163	2.48245751815076	8.24173173547089	8.25495186120439	8.99267268424403	2.79376820652828	2.80581248161712	2.86594018199056	2.77243287335602	4.72863331899093	8.91533043825868	8.49587682170625	2.60640499775191	2.72432084641747	2.7612102509162	7.45492187322807	8.95498462680159	8.65897577362911	8.83653392462656	8.32025404217596	2.84675971944221	8.08948308707764	7.12842350181766	8.85370482286108	2.51844639386628	2.55933396610639	2.73294790332703	8.41450369208059	7.70811289675302	2.48471580862196	2.54248016283986	2.4662519904197	3.01803748311765	2.67399106823992	2.73993541106577	8.56903470036871	2.42978332018991	3.25598200767401	3.10920226848988	8.77260431578378	7.33673453712088	2.58545233061073	2.5188253094321	2.72235728330467	8.37238038596156	2.3285055140052	3.20243961778252	2.52387493717444	2.36005670650175	2.63558104793433	3.20336776721265	8.37952446381039	3.18223081733252	2.6974760381468	2.25396990897577	2.44496408156184	8.8295780253077	2.66001246449836	8.20664790912401	2.68142307805041	2.50854566807543	8.35587183262465	2.71827804130991	2.81431967741315	8.86207050911391	2.63565060847301	2.69273761620298	2.50081573837508	8.92888812203268	7.9321590075885	2.828819205561	2.55378623471346	8.71634343194337	9.00035936629038	3.48207032719118	2.78102116963151	2.40092449674676	9.01408858303681	3.17212166043534	2.93486436438859	2.66673133568078	2.53528696238434	8.77100662593179	2.70902081012362	2.70596422413215	8.42898471465221
gene_8	1.36251619929268	1.22507129215672	9.1360506829216	1.93978289195212	1.27614893184658	1.24397233885707	1.511962479508	1.13793965702188	1.0622299427287	8.27736239175849	1.18978051654469	1.38011589879422	1.36233387918046	1.24596959692901	9.58698924411424	1.21105311516632	7.63638970651728	1.37948757270227	1.78050091523536	1.22965821871506	1.39942235884942	1.17203554229922	1.30004816200251	2.05293777646255	7.81583532181384	1.15262248195722	1.24351697563807	9.63258377403417	9.4089753720071	1.10020158235622	1.12841383750365	1.2835400865759	1.68343297114869	1.50039574027934	6.62279065455751	2.01561697642122	1.19245776133996	1.08600897956716	1.2116111802629	1.92201433025188	1.44103882088896	1.30868209543806	1.34580790096915	1.1856394265033	1.22653973588329	1.32816116039787	9.36682027991862	1.46659414299947	1.47703957906671	1.52870362492257	1.44801243068647	1.13332309530833	1.77115669014727	1.13856077820474	8.36570869864033	1.40574306736147	1.43819804063706	7.7911807287953	1.39786616487696	1.2499792291315	1.04102691053482	0.604753850477214	1.51231058429935	1.48297770585202	7.47466223377481	9.14377487634065	1.21919127324008	1.25697034117444	1.09168911184709	9.45059843592549	7.30351184449934	1.18775304057819	1.24144160006231	1.17043965658862	1.31915114781707	1.36098459729104	1.41951696738511	9.71742325452167	1.13602561893223	1.37637328385409	8.70089143380112	1.21902516044341	2.00775661491598	1.28091411175881	1.21954303951313	1.08295331943077	1.32461235702653	1.03892568646325	1.14925735965974	1.22422789902084	1.06941797601268	1.32645649214659	1.23710452095835	1.27935493087929	1.44329860437682	1.38193844324571	0.966006084042225	1.15038626739238	1.33825624912474	1.7189997202938	1.8753509066709	1.3676285671996	1.20998893187812	1.30043162964952	1.40039830857724	1.48439812830746	7.18641480384151	1.32651931121042	8.63702009019194	1.20278952312044	7.85864079602475	8.30145439169213	1.49690292461582	1.25186554863374	1.96158936027139	8.79411004257765	1.1352223931242	1.4555043480175	1.10858709676223	1.23678819783651	1.43580328966909	1.25433335083253	1.35448306807903	9.10162757870732	0.852250327169544	1.39219500407058	1.0693911548381	8.18481588138834
gene_9	7.98383879996504	7.73482239781895	8.74629916675275	2.8620099514595	2.57749495387837	2.54287994893096	8.50316745381273	8.82257707784513	6.7451160868823	2.57658588413078	7.99233330940165	2.69147967685374	8.13124902838342	8.21960950177632	2.64537083104882	7.51078549097196	2.70457819251009	8.61261109571283	2.51575011696824	2.90056436414971	8.12929101809473	7.54949964543983	2.98966245522173	2.7471182021861	2.3338162694096	7.23673434190413	2.54239226413566	7.90349785265113	2.51072086095576	2.39186327554091	2.77567840545739	2.58548956733417	3.06249319800914	2.82768663347679	2.48254925150991	2.71509027113181	2.85424317693004	2.37727208547315	2.50837218753933	2.6352100854321	2.75986134946143	2.32035865582074	2.65349693858991	2.48089649294301	9.24692016945617	8.47561228200706	2.64322296713739	7.46721089711236	2.80085244198508	8.69815907414982	8.83497569817013	8.5091393521535	8.88486651786492	2.43158199036314	2.6033693620097	9.09986788438124	2.75664554143643	2.57747789498437	7.08386462843622	8.03473686007271	2.33139769485466	1.916340320515	2.84145042024347	2.80765664017235	2.58875609672335	2.47698211167947	2.51642782885849	2.55682619779581	2.38310498770572	2.55634173312517	2.68580368151778	7.49670163764771	2.91534529708265	2.65859454494631	8.60723780919757	9.03170838008671	3.14557305655433	2.68257980546618	2.42894422399884	9.04146026107625	2.56981585937733	2.88727154992431	3.47137022826658	8.71698870093258	2.51680206717765	9.5563505366455	8.51846463495681	8.5062076436137	7.93644751765949	2.52178962988112	8.8200356560742	8.60197697688161	2.53553109434688	2.58096070889514	8.79433266808574	2.69350785944279	2.25614057294314	8.53709179454534	2.85636328857921	2.46436671947595	2.59563806073555	7.96964194919577	9.02359755633354	9.06472843206735	3.43108523054912	7.21507234151907	3.23337901384428	8.63218111618892	2.68881546218987	2.49901796536738	3.04812897079673	2.65039039363027	8.17476559718854	2.55134307526901	8.20914569747232	2.7083639165354	2.42810886633797	8.20250170986141	6.54691408315055	7.63653642479106	7.28498343146015	2.55399281540059	8.45128174012396	6.72847192357537	2.14503074943628	7.81435391513554	2.36025898846158	2.70480201591801
gene_10	2.88077147541905	8.98653817871756	2.41509792845663	2.43121115181937	2.35818924259755	2.72733706562611	2.62123077356538	8.77687454265562	2.78794452494659	8.9192933802298	2.81886336404901	7.10240412386333	8.74326672990336	2.32553793253705	9.07717129945911	8.88346523002744	2.48543890920207	3.23058004879978	2.29605992631109	2.30797862768011	8.01629688507834	8.88087666531381	6.84079678648999	7.97305104858418	2.1116457974447	2.22586066081223	2.32289375169072	2.75735562957632	2.29098997546399	2.17072346247428	2.20032443796546	8.7190966939967	2.44612902472946	2.60797343163729	2.26256322346534	2.49592934919453	2.66220527607928	2.15589591804711	7.19484200499427	2.41608013769491	2.54055033780873	8.68069184869557	7.16505532844491	2.26089404081523	2.30462851616421	8.69939203575776	8.88168367666394	8.78725361949296	2.58132320087564	2.64048976306629	7.67876872166506	8.61627417632679	2.97246538336012	8.71468845258362	2.38416370725258	8.67687446628647	2.98158690193343	2.35817210611362	2.49212560748756	8.77577312583636	2.10917889510251	8.58930125605908	7.40041671623982	2.58808381082358	2.36949824568316	8.78874666653468	6.88101271751479	2.33741505437922	2.82743717447676	8.76907621124654	2.69843320698699	7.57411940283884	2.72411647895208	2.63463297272616	3.14317901579115	2.45114812778391	6.15610158408868	2.89341756910182	7.06758561474129	2.89905452091221	2.75935160492799	2.29656490054791	3.23756859486817	2.36336434257499	2.29712020533835	2.15270908691175	8.72448536810338	2.10700683710062	2.22230341421886	2.30214639869437	8.84199479407405	7.85572827920914	7.69085980607105	2.36167044092759	7.81566592441293	2.90641884772495	2.03218385236035	2.60965524526403	2.84894473865393	2.6339914285119	2.37640617678603	2.88750783561144	8.6288591536278	2.79977004967773	7.37019305149535	2.5897024819524	2.34223861814661	2.8336283789422	2.90083595001662	2.27918673417561	2.43394194788661	2.43127854648402	7.94076272244251	7.33866766010711	8.92673266989348	8.92978376069885	2.20749359346323	7.90508807305942	2.97425923492211	2.88149393521444	2.53465093309424	2.33456542091327	2.67330246479272	2.31350208400051	2.09600957046138	8.67762645525888	2.13858826695688	8.84712894235953
